px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.7573	-3.80427	-2.7278	-2.25593	0.247539	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0
10.8021	-3.66577	-2.60791	-2.17834	0.342908	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	0
10.881	-3.52252	-2.64654	-2.14676	0.355091	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0
10.9873	-3.41979	-2.73	-2.17496	0.282909	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	0
11.0667	-3.26239	-2.80919	-2.1419	0.301066	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0
11.1085	-3.10947	-2.73666	-2.06899	0.385787	11.1178	-2.98807	11.1	-3	0.907725	2.72317	0
11.1767	-2.94364	-2.79219	-2.03313	0.399763	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314	0
11.227	-2.79227	-2.78365	-1.9887	0.431786	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678	0
11.2845	-2.62205	-2.83574	-1.95264	0.443448	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678	0
11.2233	-2.42551	-2.71994	-1.77252	0.684184	11.1188	-2.36202	11.2	-2.4	-0.909276	2.72782	0
11.2354	-2.27397	-2.71682	-1.72612	0.692142	11.1594	-2.25598	11.15	-2.25	-0.909276	2.72782	0
11.3318	-2.18902	-2.6226	-1.81163	0.494949	11.2029	-2.09837	11.25	-2.1	1.81915	2.72871	0
11.3645	-2.02058	-2.67969	-1.77783	0.500551	11.3525	-1.95787	11.35	-1.95	1.81913	2.72869	0
